text,congress,chamber,date,,,,
"That the House resolve into the committee of the whole to consider s. 1419, amending an act entitled, ""an act to regulate the construction of dams across navigable waters, approved june 21, 1906 as amended by the act of waterways for uses of interstate and foreign commerce. (p. 9803)",Sixty-Fifth Congress,House,8/31/1918,,,,
That the House resolve into the committee of the whole to consider bill s. 1419. (p. 9950),Sixty-Fifth Congress,House,9/4/1918,,,,
"That the House resolve into the committee of the whole House to further consider h.r. 12863, a bill for providing revenue and for other purposes. (p. 10088)",Sixty-Fifth Congress,House,9/6/1918,,,,
"That the House resolve into the committee of the whole, to further consider h. r. 12863. (p. 10092)",Sixty-Fifth Congress,House,9/7/1918,,,,
That the House resolve into the committee of the whole to further consider h.r. 12863. (p. 10146),Sixty-Fifth Congress,House,9/10/1918,,,,
That the House resolve into the committee of the whole for further consideration of h. r. 12863. (p. 10408),Sixty-Fifth Congress,House,9/17/1918,,,,
To pass h. r. 12863. (p. 10547),Sixty-Fifth Congress,House,9/20/1918,,,,
"To adopt all the amendments agreed to in the committee of whole to bill h. r. 14078, (40 stat-1213, mar. 1, 1919), making appropriations for the legislative, executive and judicial expenses of the government for fiscal year 1920. (p. 1496-1562 p. 1558-1570)",Sixty-Fifth Congress,House,1/18/1919,,,,
"To consider bill h. r. 15539, making appropriations for the naval service for fiscal year 1920. (p. 2821-2)",Sixty-Fifth Congress,House,2/6/1919,,,,
"To resolve into the committee of the whole and take up bill h. r. 15539, making appropriations for the naval service for fiscal year 1920.",Sixty-Fifth Congress,House,2/10/1919,,,,
To pass h.r. 2762.,Sixty-Fifth Congress,Senate,4/17/1917,,,,
"To amend h.r. 4280, by increasing the income tax on incomes of $500,000 or more, (p. 6235-2)",Sixty-Fifth Congress,Senate,8/22/1917,,,,
To pass h.r. 5723.,Sixty-Fifth Congress,Senate,10/4/1917,,,,
"To pass s.j. res. 111 (stat-40-l-429, 12/7/17), declaring war on austria-hungary.",Sixty-Fifth Congress,Senate,12/7/1917,,,,
"To pass h.r. 6361 (stat-40-l-440, 3/8/18), extending the protection to the civil rights of members of the u.s. military and naval establishments engaged in the present war. (p. 1755-1)",Sixty-Fifth Congress,Senate,2/6/1918,,,,
"To amend h.r. 9867 (stat-40-l-459, 3/28/18), a bill making deficiency appropriations, by requiring that all moneys paid to the alien property custodian through seizure of alien property be deposited in the u. s. treas., and permitting the investment of such moneys in u.s. bonds or certificates. (p. 3316-2)",Sixty-Fifth Congress,Senate,3/11/1918,,,,
"To pass s. 4557 (stat-40-l-617, 6/27/18), a bill to provide for vocational rehabilitation and return to civil employment of disabled persons discharged from the armed services.",Sixty-Fifth Congress,Senate,5/25/1918,,,,
"To pass a Resolution offered during debate on h.r. 11692, b bill making appropriations for the district of columbia for fiscal 1919, which serves notice upon the House that Senate insists upon its amendment paying $6,000 to thomas h. keller and wife, for taxes paid after their property was taken, and requests a further conference. (p. 8637-2)",Sixty-Fifth Congress,Senate,7/2/1918,,,,
"To amend h.r. 12731 (stat-40-l-955, 8/31/18), a bill to amend an act authorizing the pres. to increase temporarily the military establishment of the u. s., by providing that strikers who submit their differences to the war labor board and agree to abide by the board's decision, shall not be included in the proviso which states that any person who is in an exempted class, on account of working in an exempted occupation, shall be taken out of the exempt class if he changes to a non-essential occupation. (p. 9523-1, 9558-2)",Sixty-Fifth Congress,Senate,8/27/1918,,,,
To pass h.r. 12731.,Sixty-Fifth Congress,Senate,8/27/1918,,,,
To elect a speaker of the House. votes for f.h. gillett are coded as 2. votes for champ clark are coded as 1.,Sixty-Sixth Congress,House,5/19/1919,,,,
"To pass h.res. 78, directing the speaker to select a committee of fifteen to investigate certain expenditures of the war department and make report thereon. (p. 646-2)",Sixty-Sixth Congress,House,6/4/1919,,,,
"To order engrossment and third reading of h.r. 3624, a bill incorporating patrol drivers into the metropolitan police department of the district of columbia. (p. 1714-1)",Sixty-Sixth Congress,House,6/24/1919,,,,
"To recommit h.r. 7343, with amended instructions, providing that appropriations be increased to $8,000,000, no more than 18% of which may be used for salaries.",Sixty-Sixth Congress,House,7/17/1919,,,,
"To agree to h.res. 171, providing for investigation of contracts, leases, expenditures, receipts, and any and all transactions of the said u.s. shipping board, the emergency fleet corp and any other corporations firms individuals or agency in any way associated with or controlled or regulated by the said board on emergency fleet corporation. (p. 3105-1)",Sixty-Sixth Congress,House,7/24/1919,,,,
"To pass h.r. 687, a bill appropriating $350 to frank pinkley of blackwater, arizona, for digging a well and building a House for himself upon the withdrawn land adjacent to the ruin of casa grande during his custodianship of said ruin. no quorum voting. (p. 3170-1)",Sixty-Sixth Congress,House,7/25/1919,,,,
"To pass h.r. 6750, (41 stat 593, 5-10-20), a bill deporting some five-hundred undesirable aliens now interned as enemies at camp oglethorpe, georgia, and camp logan, utah. (p. 3362-1)",Sixty-Sixth Congress,House,7/30/1919,,,,
"To pass h.r. 8778, (41 stat 371, 12-24-19), a bill amending and modifying the war risk insurance act. (p. 5351-1)",Sixty-Sixth Congress,House,9/13/1919,,,,
"To agree to s.c.res. 15, assuring the administration of the support of Congress in dealing with the present industrial emergency, and in vindicating the majesty and power of the government in enforcing obedience to the threatened coal strike. (p. 7820-2)",Sixty-Sixth Congress,House,10/31/1919,,,,
To pass h.res. 362. (p. 8049-2),Sixty-Sixth Congress,House,11/6/1919,,,,
"To pass h.r. 11578, (4-24-20), a bill making appropriations for the service of the post office department for the fiscal year ending june 30, 1921. (p. 1600)",Sixty-Sixth Congress,House,1/15/1920,,,,
To pass h.r. 12272. (p. 2915),Sixty-Sixth Congress,House,2/14/1920,,,,
"To pass h.res. 495, authorizing the committee on education to investigate the federal board for vocational education, subpoena people and papers, administer oaths and hold session during sessions of the House. (p. 4649)",Sixty-Sixth Congress,House,3/20/1920,,,,
"To pass h.r. 12260, (4-23-20), an act to increase the revenue and for other purposes. (p. 5020-1)",Sixty-Sixth Congress,House,3/30/1920,,,,
"To resolve the House into the comm. of the whole on the state of the union and proceed to the consideration of s. 2890, (41 stat 751, 6-4-20), a bill to provide for the allotment of lands of the crow tribe for the distribution of tribal funds. (p. 5991)",Sixty-Sixth Congress,House,4/22/1920,,,,
"To move the previous question, the same being consideration for adoption of h.res. 536, calling for the House to resolve itself into the committee of the whole on the state of the union for the consideration of h.r. 13627, amending the act which authorized the secretary of the treasury to furnish hospital and sanatarium facilities to disabled veterans, by establishing a hospital for such purposes in the district of columbia. (p. 7434-2)",Sixty-Sixth Congress,House,5/21/1920,,,,
"To order the previous question, in order to shut off debate and bring to immediate vote, h.r. 14197, a bill to amend the personal service corporation provisions of the revenue act of 1918. (p. 7766)",Sixty-Sixth Congress,House,5/27/1920,,,,
"To suspend the rules and pass h.r. 14338, (41 stat 1045, 6-5-1920), a bill relating to the reclassification of post office salaries and personnel on an equitable basis. (p. 8381)",Sixty-Sixth Congress,House,6/3/1920,,,,
"To pass h.j.res. 382, (3-2-21), suspending the operation of war laws, acts and resolutions of Congress. (p. 303-1)",Sixty-Sixth Congress,House,12/13/1920,,,,
"To resolve the House into the comm. of the whole House on the state of the union in order to take up for consideration h.r. 15543, (3-3-21), a bill making appropriations for the legislative, executive, and judicial expenses of the government for fiscal 1922. (p. 1369-1)",Sixty-Sixth Congress,House,1/13/1921,,,,
"To resolve the House into the committee of the whole House in order to proceed with the consideration of h.r. 14498, a bill relating to apportionment of representatives. (p. 1626-1)",Sixty-Sixth Congress,House,1/18/1921,,,,
To resolve the House into the committee of the whole House on the state of the union in order to further consider h.r. 14498. (p. 1676-1),Sixty-Sixth Congress,House,1/19/1921,,,,
"To concur in the Senate amendment to h.j.res. 382, (0 app. 3-2-21), declaring that certain acts of Congress, joint resolutions and proclamations shall be construed as if the war had ended and the present or existing emergency expired, which amendment relates to existing emergencies previously prescribed as war measures. (p. 4206-1,2)",Sixty-Sixth Congress,House,3/1/1921,,,,
"To refer h.r. 15275, to the committee on finance.",Sixty-Sixth Congress,Senate,12/27/1920,,,,
To amend h.r. 14461 by providing that the number of aliens of any nationality who may be admitted under existing statutes to the united states in any fiscal year shall be limited to 5% of the number of foreign-born persons of such nationality already resident in the united states.,Sixty-Sixth Congress,Senate,2/19/1921,,,,
To amend h.r. 15975 by authorizing the president to invite great britain and japan to send representatives to a conference to be held for the purpose of entering into an agreement reducing the naval building program of each of the three governments.,Sixty-Sixth Congress,Senate,3/1/1921,,,,
"To pass h.r. 15894, a bill authorizing an appropriation enabling the secretary of the treasury to provide medical, surgical, and hospital services for persons who served in the world war.",Sixty-Sixth Congress,Senate,3/3/1921,,,,
"To adjourn, a motion made during consideration of h.r. 5818, (41 stat 387, 1-15-20), a bill providing for the retirement of district of columbia public school teachers. (p. 4306-2)",Sixty-Sixth Congress,House,8/25/1919,,,,
"To elect a speaker of the House. votes for claude kitchin, (dem.) are coded 1. votes for frederick h. gillett (rep.) are coded 2.",Sixty-Seventh Congress,House,4/11/1921,,,,
"To pass h. r. 6611 (42 stat. 147, app. 8/9/21), a bill establishing in the treasury department a veterans bureau, improving the facilities and service of such bureau, and amending the war risk insurance act. (p.2428-2)",Sixty-Seventh Congress,House,6/10/1921,,,,
"To pass h. res. 215, providing that thomas l blanton be voted the censure of this body and the speaker of the House be directed to summon him to the bar of the House and deliver to him its reprimand and censure. (p.6895-2)",Sixty-Seventh Congress,House,10/27/1921,,,,
"To suspend the rules and pass s. 2780 (p. 115, app. 12/21/21), amending an act to define, regulate and punish trading with the enemy. (p.490-1)",Sixty-Seventh Congress,House,12/19/1921,,,,
"To resolve into the committee of the whole to consider h. r. 9981, a bill making appropriations for the executive department for fiscal 1923.",Sixty-Seventh Congress,House,1/21/1922,,,,
"To resolve into the committee of the whole to consider h. r. 10864 (42 stat. 496, app. 4/20/22), authorizing an appropriation for the construction of additional hospital facilities to provide for persons who served in world war i and are patients of the u. s. veterans bureau. (p.4870-2)",Sixty-Seventh Congress,House,3/31/1922,,,,
"To resolve into committee of the whole to consider h. r. 11228 (p. 264, app. 7/1/22), making appropriations for the navy department and naval service for fiscal 1923. (p.5406-1)",Sixty-Seventh Congress,House,4/12/1922,,,,
To consider h. r. 11228. (p.5724-2),Sixty-Seventh Congress,House,4/19/1922,,,,
"To resolve into the committee of the whole to consider h. r. 10972 (42 stat. 625, app. 6/10/22), providing for the readjustment of the pay and allowances of the commissioned and enlisted personnel of the army, navy, marine corps, coast guard, coast and geodetic survey, and public health service.",Sixty-Seventh Congress,House,5/9/1922,,,,
"To resolve into the committee of the whole to consider h. r. 10972 (42 stat. 625, app. 6/10/22), providing for the readjustment of the pay and allowances of the commissioned and enlisted personnel of the army, navy, marine corps, coast guard, coast and geoditic survey and public health service. (p.6754-2)",Sixty-Seventh Congress,House,5/11/1922,,,,
"To resolve into the committee of the whole to consider h. r. 12090 (p. 263, app. 7/1/22), a bill to supply deficiencies in appropriations for fiscal 1922 and prior fiscal years, and to provide supplemental appropriations for fiscal 1923. (p.9178-1)",Sixty-Seventh Congress,House,6/22/1922,,,,
To order the previous question on h. r. 12090. (p.9266-1),Sixty-Seventh Congress,House,6/23/1922,,,,
"To amend h. r. 12090, by providing an appropriation to pay t. w. harrison for expenses as contestee in the contested election case of paul vs. harrison.",Sixty-Seventh Congress,House,6/23/1922,,,,
"To amend h. r. 12090, by adding that allotments of appropriations for medical services may be made by the veterans bureau to the public health service for care of beneficiaries of the veterans bureau, and for personnel in the health service and veterans bureau. (p.2964-2, 2972-1, 2)",Sixty-Seventh Congress,House,6/23/1922,,,,
"To recede and concur in a Senate amendment to h. r. 10871, which amendment provides that the appropriation for the army and miscellaneous shall be accounted for as pay of the army, and shall constitute one fund, provided that no amount shall be used for employment of additional person. (p.9288-1)",Sixty-Seventh Congress,House,6/23/1922,,,,
"To recede and concur in a Senate amendment to h. r. 10871, which amendment provides that apartment buildings may be constructed out of this appropriation at fort benning, georgia. (p.9289-1)",Sixty-Seventh Congress,House,6/23/1922,,,,
"To resolve into the committee of the whole to consider h. r. 13180 (app. 1/3/23), making appropriations for the treasury department for fiscal 1924, and for other purposes. (p.247-2)",Sixty-Seventh Congress,House,12/9/1922,,,,
"To amend h. r. 4803, by authorizing the president to invite the governments of great britain and japan to send representatives to a conference for the purpose of entering into an agreement wherby the naval expenses and building prograns of each shall be substantially reduced annually during the next five years. (p.1757-2)",Sixty-Seventh Congress,Senate,5/25/1921,,,,
"To amend an amendment to h. r. 8245, which amended amendment changing the words ""alcoholic medicinal preparations fit for use for beverage purposes"", to read ""liquors or preparations containing such vinous liquors"" to conform to the present law. (p.6937-1,2; 6938-1,2)",Sixty-Seventh Congress,Senate,10/28/1921,,,,
"To agree to Resolution of ratification as amended to supplementary four power treaty, by adding to and ratifying the treaty with the following reservation; that the controversies to which the second paragraph of article 1 of the four power treaty ... shall not be taken to embrace questions which according to international law lie within the jurisdiction of the united states or other powers. (p.4621-1)",Sixty-Seventh Congress,Senate,3/27/1922,,,,
"To agree to Resolution of ratification, of treaty between the united states, the british empire, france, italy and japan, relating to the use of submarines and noxious gases in warfare, Resolution as follows, resolved two thirds of the senators present concuring therein that the Senate advise and consent to the ratification of executive m, 67th Congress, 2nd session. (p.4730-2)",Sixty-Seventh Congress,Senate,3/29/1922,,,,
"To agree to Resolution of ratification, of treaty between the united states, belgium, the british empire, china, france, italy, japan, the netherlands and portugal relating to principles and policies to be followed in matters concerning china, concluded at washington february 6, 1922, resolved that two thirds of the senators present concurring therein, that the Senate advise and consent to ratification of executive p, 67 Congress, 2nd session. (p.4784-1)",Sixty-Seventh Congress,Senate,3/30/1922,,,,
"To pass h. r. 10864 (42 stat. 496, 4/20/1922), a bill authizing appropriation to enable the director of the united states veterans' bureau to provide for the construction of additional hospital facilities and to provide medical, surgical, and hospital services and supplies for persons who served in the world war, spanish-american war, philippine insurrection, and the boxer rebellion, and are patients of the united states veterans' bureau. (p.5509-2)",Sixty-Seventh Congress,Senate,4/14/1922,,,,
"To pass amended s. res. 282, directing the secretary of the interior to send to the Senate certain detailed information as to oil leases made by the department within naval oil reserves #1 and #2 in california and #3 in wyoming. (p.6097-1)",Sixty-Seventh Congress,Senate,4/29/1922,,,,
"To amend a committee amendment to h. r. 7456, by reducing the rate of (45) forty-five per cent on thoriam nitrate, etc., to (40) forty per cent ad valorem. (p.7255-2)",Sixty-Seventh Congress,Senate,5/19/1922,,,,
"To amend an amendment to h. r. 7456, which amended amendment authorizing the president to alter tariff rates. this amendment strikes out woards ""or forms of duty"" in previous amendment. (p.11221-2)",Sixty-Seventh Congress,Senate,8/11/1922,,,,
To pass s. 4287. (p.1348-2),Sixty-Seventh Congress,Senate,2/2/1923,,,,
"To resolve into committee of the whole for further consideration of h.r. 6715, (43 stat 253, 6-2-24), reducing and and equalizing taxation, providing revenue, and for other purposes. (p. 3100-2)",Sixty-Eighth Congress,House,2/25/1924,,,,
To resolve into the committee of the whole for further consideration of h.r. 6715.,Sixty-Eighth Congress,House,2/28/1924,,,,
"To resolve into committee of the whole for the consideration of h.r. 7995 (43 stat 153-5/26/24), to limit the immigration of aliens into the united states.",Sixty-Eighth Congress,House,4/11/1924,,,,
"That the House resolve into committee of the whole for further consideration of h.r. 12101 (3/4/25), making appropriations for the legislative branch of the government for fiscal year 1926. (p. 3563)",Sixty-Eighth Congress,House,2/12/1925,,,,
To elect a chairman of the committee on interstate commerce for the 68th Congress. votes for albert b. cummins are coded as 1; for ellison d. smith as 2; for others as 8. (p. 156),Sixty-Eighth Congress,Senate,12/10/1923,,,,
To elect a chairman of the committee on interstate commerce for the 68th Congress. (p. 159-2),Sixty-Eighth Congress,Senate,12/10/1923,,,,
"To elect a chairman of the interstate commerce committee. (p. 159-2, 160-1)",Sixty-Eighth Congress,Senate,12/10/1923,,,,
To elect a chairman of the interstate commerce committee. (p. 234-1),Sixty-Eighth Congress,Senate,12/11/1923,,,,
To elect a chairman of the committee on interstate commerce. (p. 234-2),Sixty-Eighth Congress,Senate,12/11/1923,,,,
To elect a chairman of the committee on interstate commerce. (p. 234-2),Sixty-Eighth Congress,Senate,12/11/1923,,,,
To elect a chairman of the committee on interstate commerce. (p. 250-1),Sixty-Eighth Congress,Senate,12/12/1923,,,,
To elect a chairman of the committee on interstate commerce. (p. 250-2),Sixty-Eighth Congress,Senate,12/12/1923,,,,
To elect a chairman of the committee on interstate commerce. (p. 250-2),Sixty-Eighth Congress,Senate,12/12/1923,,,,
"To elect the chairman of the committee on interstate commerce. votes for a. cummins are coded as 1, for e.d. smith, as 2. (p. 327-1)",Sixty-Eighth Congress,Senate,12/17/1923,,,,
To elect a chairman of the committee on interstate commerce. (p. 327-2),Sixty-Eighth Congress,Senate,12/17/1923,,,,
To elect a chairman of the committee on interstate commerce. (p. 328-1),Sixty-Eighth Congress,Senate,12/17/1923,,,,
To elect a chairman of the committee on interstate commerce. (p. 328-1),Sixty-Eighth Congress,Senate,12/17/1923,,,,
To elect a chairman of the committee on interstate commerce. (p. 328-2),Sixty-Eighth Congress,Senate,12/17/1923,,,,
To elect a chairman of the committee on interstate commerce. (p. 400-1),Sixty-Eighth Congress,Senate,12/18/1923,,,,
To elect a chairman of the committee on interstate commerce. (p. 400-1),Sixty-Eighth Congress,Senate,12/18/1923,,,,
To elect a chairman of the committee on interstate commerce. (p. 400-2),Sixty-Eighth Congress,Senate,12/18/1923,,,,
To elect a chairman of the committee on interstate commerce. (p. 400-2),Sixty-Eighth Congress,Senate,12/18/1923,,,,
"To elect a chairman of the committee on interstate commerce. (p. 400-2, 401-1)",Sixty-Eighth Congress,Senate,12/18/1923,,,,
To elect a chairman of the committee on interstate commerce. (p. 401-1),Sixty-Eighth Congress,Senate,12/18/1923,,,,
To elect a chairman of the committee on interstate commerce. (p. 401-1),Sixty-Eighth Congress,Senate,12/18/1923,,,,
To elect a chairman of the committee on interstate commerce. (p. 401-2),Sixty-Eighth Congress,Senate,12/18/1923,,,,
To elect a chairman of the committee on interstate commerce. (p. 401-2),Sixty-Eighth Congress,Senate,12/18/1923,,,,
To elect a chairman of the committee on interstate commerce. (p. 427-2),Sixty-Eighth Congress,Senate,12/19/1923,,,,
"To elect a chairman of the committee on interstate commerce. (p. 427-2, 428-1)",Sixty-Eighth Congress,Senate,12/19/1923,,,,
To elect a chairman of the committee on interstate commerce. (p. 508-2),Sixty-Eighth Congress,Senate,1/3/1924,,,,
To elect a chairman of the committee on interstate commerce. (p. 509),Sixty-Eighth Congress,Senate,1/3/1924,,,,
To elect a chairman of the committee on interstate commerce. (p. 626-2),Sixty-Eighth Congress,Senate,1/7/1924,,,,
To elect a chairman of the committee on interstate commerce. (p. 626-2),Sixty-Eighth Congress,Senate,1/7/1924,,,,
To elect a chairman of the committee on interstate commerce. (p. 737-1),Sixty-Eighth Congress,Senate,1/9/1924,,,,
To elect a chairman of the committee of interstate commerce. (p. 737-2),Sixty-Eighth Congress,Senate,1/9/1924,,,,
To elect a chairman of the committee on interstate commerce. (p. 747-2),Sixty-Eighth Congress,Senate,1/9/1924,,,,
"To agree to a modified amendment to s.j. res. 54, which amendment authorizes the president to take the necessary legal steps to cancel leases mentioned in original res., togather with the leases of the american petroleum and transport co. and the pan american petroleum co., and to prosecute civilly and criminally an to take such other actions, as may be warrented by the facts regarding the making of the leases by the then secretary of the interior, albert b. fall, hon. edwin denby, secretary of the navy and h.f. sinclair, representing the oil interests. (p. 1728-1, 1607-1)",Sixty-Eighth Congress,Senate,1/31/1924,,,,
To pass s.j. res. 54. (p. 1728-2),Sixty-Eighth Congress,Senate,1/31/1924,,,,
"To agree to s. res. 195, providing that a copy of the testimony adduced and the proceedings had before the committee on public lands and surveys under Senate res. 147, with a copy of this Resolution, be transmitted to the House of representatives for such proceedings against clarence c. chase as may be appropriate. (p. 4915-1,2, 4920-1, 4921-1)",Sixty-Eighth Congress,Senate,3/25/1924,,,,
"To amend s. 1898, a bill to readjust the compensation of postmasters and reclassify and readjust the salaries and compensations of employees in the postal service, by requiring all local, state or national committees, and all persons having any part in the election or campaign for election of members of Congress, or other officers of the government, to publish, every 10 days, a financial report of contributions received. (p. 9516-1)",Sixty-Eighth Congress,Senate,5/26/1924,,,,
"To consider the report of the conference committee on the disagreeing votes of the two houses on the amendment of the House to s. 2257, (app. 6/7/1924, 43 stat. l. 607), a bill to consolidate, codify, revise and reenact the laws affecting the establishment of the united states veterans bureau and the administration of the war risk insurance act, as amended, and the vocational rehabilitation act, as amended. (p. 10928-2)",Sixty-Eighth Congress,Senate,6/6/1924,,,,
"To suspend rules and pass h. r. 8132 (44 stat 382, 5/1/26), a bill granting pensions and increase of pensions to certain soldiers and sailors of the war with spain, the phillipine insurrection or the china relief expedition, to certain maimed soldiers, to certain widows, minor children and and helpless children of such soldiers and sailors. (p.6908-1, p.6909-2)",Sixty-Ninth Congress,House,4/5/1926,,,,
"To go into committee of the whole for the consideration of h. r. 16462 (2/28/27), a bill to make appropriations to supply urgent deficiencies in certain appropriations for supplemental appropriations for fiscal 1927.",Sixty-Ninth Congress,House,1/21/1927,,,,
"To resolve the House into committee of the whole for the consideration of h. r. 16800 (3/2/27), a bill making appropriations to provide for the expenses of the district of columbia for fiscal 1928.",Sixty-Ninth Congress,House,2/1/1927,,,,
"To pass h. r. 8132 (p. 16 may 1, 1926) as amended, a bill granting pensions and increases of pensions to certain soldiers and sailors of the spanish war, phillippine insurrection and the china relief expedition, and to their widows, minor children, and helpless children. (p. 4601-1 7434-1 7133-2)",Sixty-Ninth Congress,Senate,4/14/1926,,,,
"To amend s. res. 327, advising arbitration of the diplomatic controversies with mexico, so as to provide for submitting to an arbitral tribunal which shall apply the principles of international law to the controversies with mexico relating to the alleged confiscation or imprisonment of the property of american citizens and corporations in mexico, the arbitration agreement to provide for protection of all american property rights pending final outcome of arbitration. (p. 223-2)",Sixty-Ninth Congress,Senate,1/25/1927,,,,
To pass h. r. 16886 (p. 4546-2),Sixty-Ninth Congress,Senate,2/23/1927,,,,
"To elect a speaker for the 70th House; nicholas longworth (rep) versus finis j. garrett (dem.). votes for longworth are coded 2, for garrett, 1.",Seventieth Congress,House,12/5/1927,,,,
"To resolve into the committee of the whole for further consideration of h.r. 10286, (p. 181, app. 3-23-28), a bill making appropriations for the military and non military activities of the war department for fiscal 1929.",Seventieth Congress,House,1/31/1928,,,,
"To resolve into the committee of the whole for further consideration of h.r. 10635, (p. 93, app. 3-5-28), a bill making appropriations for the treasury and post office departments for fiscal 1929. (p. 2909-2)",Seventieth Congress,House,2/13/1928,,,,
"To resolve into the committee of the whole for further consideration of h.r. 9285, a bill to provide for the settlement of claims against the u.s. on account of property damage, personal injury or death.",Seventieth Congress,House,2/16/1928,,,,
"To pass h. r. 6518 (45 stat. l. 476, app. 5/28/1928), a bill to amend the salary rates contained in the compensation schedules of the act of march 4, 1923, entitled ""an act to provide for the classification of civilian positions within the district of columbia and in the field services"" which amended bill increases the pay of civil employes, to equalize and benefit the lower paid employes of the government. (p.8858-1, 8863-2)",Seventieth Congress,Senate,5/16/1928,,,,
"To insist on amendments, and agree to the conference asked by the House, relating amendments to h. r. 16878 (45 stat. l. 2379, app. 3/4/1929), a bill granting pensions and increases of pensions to certain soldiers and sailors of the regular army and navy, etc., and certain soldiers and sailors of wars other than the civil war, and to widows of such soldiers and sailors. (p.4549-2)",Seventieth Congress,Senate,2/27/1929,,,,
To elect a speaker of the House. votes for nicholas longworth (rep) are coded 2; votes for john n. garner (dem) are coded 1. (j p. 3-2),Seventy-First Congress,House,4/15/1929,,,,
"To resolve the House into the committee of whole for consideration of s. 3060, a bill providing for the establishment of a national employment system and for cooperation with the states in the promotion of such system, and for other purposes.",Seventy-First Congress,House,2/23/1931,,,,
"To pass s. res. 303, relating to the sale of power generated by the government power plant at welson dan. (p. 11764-1)",Seventy-First Congress,Senate,6/26/1930,,,,
"To pass h.r. 6603, (p. 672, 2-17-31), a bill to provide a shorter work week for postal employees. (p. 4458-1)",Seventy-First Congress,Senate,2/11/1931,,,,
"To elect a pres. pro-tem of the Senate to preside during the absence of the vice-president. votes for key pittman are coded 1, for george moses, 2, for george norris ,8 for chas. mcnary, 8, for wesley jones, 8, no senator having received a majority, no choice was made.",Seventy-Second Congress,Senate,12/8/1931,,,,
To elect a president pro-tem of the Senate. (p. 68-2),Seventy-Second Congress,Senate,12/8/1931,,,,
To elect a president pro-tem of the Senate. (p. 68-2),Seventy-Second Congress,Senate,12/8/1931,,,,
To elect a president pro-tem of the Senate. (p. 226-2),Seventy-Second Congress,Senate,12/9/1931,,,,
To elect a president pro-tem of the Senate. (p. 226-2),Seventy-Second Congress,Senate,12/9/1931,,,,
To elect a president pro-tem of the Senate. (p. 226-2),Seventy-Second Congress,Senate,12/9/1931,,,,
To elect a president pro-tem of the Senate. (p. 226-2),Seventy-Second Congress,Senate,12/9/1931,,,,
To elect a president pro-tem of the Senate. (p. 303-1),Seventy-Second Congress,Senate,12/10/1931,,,,
To elect a president pro-tem of the Senate. (p. 303-1),Seventy-Second Congress,Senate,12/10/1931,,,,
To elect a president pro-tem of the Senate. (p. 303-1),Seventy-Second Congress,Senate,12/10/1931,,,,
To elect a president pro-tem of the Senate. (p. 303-1),Seventy-Second Congress,Senate,12/10/1931,,,,
To elect a president pro-tem of the Senate. (p. 458-2),Seventy-Second Congress,Senate,12/14/1931,,,,
To elect a president pro-tem of the Senate. (p. 458-2),Seventy-Second Congress,Senate,12/14/1931,,,,
To elect a president pro-tem of the Senate. (p. 458-2),Seventy-Second Congress,Senate,12/14/1931,,,,
To elect a president pro-tem of the Senate. (p. 458-2),Seventy-Second Congress,Senate,12/14/1931,,,,
To elect a president pro-tem of the Senate. (p. 543-1),Seventy-Second Congress,Senate,12/15/1931,,,,
To elect a president pro-tem of the Senate. (p. 543-1),Seventy-Second Congress,Senate,12/15/1931,,,,
To elect a president pro-tem of the Senate. (p. 613-1),Seventy-Second Congress,Senate,12/16/1931,,,,
To elect a president pro-tem of the Senate. (p. 613-1),Seventy-Second Congress,Senate,12/16/1931,,,,
To elect a president pro-tem of the Senate. (p. 710-2),Seventy-Second Congress,Senate,12/17/1931,,,,
To elect a president pro-tem of the Senate. (p. 710-2),Seventy-Second Congress,Senate,12/17/1931,,,,
To elect a president pro-tem of the Senate. (p. 921-2),Seventy-Second Congress,Senate,12/19/1931,,,,
To elect a president pro-tem of the Senate.,Seventy-Second Congress,Senate,12/19/1931,,,,
To elect a president pro-tem. votes for key pittman are coded as 1; for george moses as 2; for a. vandenburg as 8. (p. 1197-2),Seventy-Second Congress,Senate,1/4/1932,,,,
To elect a president pro-tem of the Senate. (p. 1198-1),Seventy-Second Congress,Senate,1/4/1932,,,,
"To pass s. 3231, a bill providing retirement system for railroad employees, to provide unemployment relief.",Seventy-Third Congress,Senate,6/14/1934,,,,
"To amend h.j.res. 375, providing settlement of labor dispute, by providing that the Resolution does not affect employees' right to strike.",Seventy-Third Congress,Senate,6/16/1934,,,,
"To resolve the House into the committee of the whole for further consideration of h.r. 11418, a bill for appropriation for the dept. of agriculture and the farm credit administration for the fiscal year ending june 30, 1937.",Seventy-Fourth Congress,House,2/27/1936,,,,
"To agree to h. res. 490, a Resolution admonishing zioncheck for attempting to speak out of order and indulging in personalities on april 17, 1936, and expunging his remarks from the record.",Seventy-Fourth Congress,House,4/20/1936,,,,
"To agree to House res. 514, a Resolution removing certain remarks of rep. martin from the record of may 8, 1936 on page 7168, which were critical of another member of the House.",Seventy-Fourth Congress,House,5/14/1936,,,,
"Judgement. after the impeachment of halsted l. ritter, united states district judge for the southern district of florida, it was further ordered ""that the respondent, halsted l. ritter, united states district judge for the southern district of florida, be forever disqualified from holding and enjoying any office of honor, trust, or profit under the united states.""",Seventy-Fourth Congress,Senate,4/17/1936,,,,
"To pass s.j. res. 3, a joint Resolution prohibiting the exportation of arms, ammunition, and implements of war from the united states to spain.",Seventy-Fifth Congress,Senate,1/6/1937,,,,
